repetition,seed,fold,model,n_test,mae_days,selected_alpha
17,20260833,2,covariates,9,5.1496821803243815,1000.0
17,20260833,2,panel,9,3.479698861413482,31.622776601683793
17,20260833,2,combined,9,3.508045258464596,56.23413251903491
17,20260833,3,median,9,5.777777777777778,
17,20260833,3,covariates,9,6.172946186641737,100.0
17,20260833,3,panel,9,2.3336993708053466,31.622776601683793
17,20260833,3,combined,9,2.971079848937693,56.23413251903491
17,20260833,4,median,9,2.888888888888889,
17,20260833,4,covariates,9,4.664143679698512,10.0
17,20260833,4,panel,9,2.034770902008768,31.622776601683793
17,20260833,4,combined,9,2.6550415251248562,17.78279410038923
18,20260834,0,median,8,4.75,
18,20260834,0,covariates,8,5.683663967773302,56.23413251903491
18,20260834,0,panel,8,2.8254865058530507,56.23413251903491
18,20260834,0,combined,8,3.7540817606452803,177.82794100389228
18,20260834,1,median,10,4.9,
18,20260834,1,covariates,10,4.570730281090066,1000.0
18,20260834,1,panel,10,2.4632869662617316,31.622776601683793
18,20260834,1,combined,10,2.4263611317078744,56.23413251903491
18,20260834,2,median,12,2.5,
18,20260834,2,covariates,12,3.593241209206368,17.78279410038923
18,20260834,2,panel,12,1.8676657617985146,5.623413251903491
18,20260834,2,combined,12,1.6034971534472895,56.23413251903491
18,20260834,3,median,12,4.583333333333333,
18,20260834,3,covariates,12,4.778542869993912,1000.0
18,20260834,3,panel,12,3.446910128567795,0.31622776601683794
18,20260834,3,combined,12,3.5203534704331396,31.622776601683793
18,20260834,4,median,7,4.0,
18,20260834,4,covariates,7,4.471323318465317,17.78279410038923
18,20260834,4,panel,7,2.64086887395627,31.622776601683793
18,20260834,4,combined,7,2.9392004761807264,56.23413251903491
19,20260835,0,median,9,3.888888888888889,
19,20260835,0,covariates,9,5.776639381177185,3.1622776601683795
19,20260835,0,panel,9,2.7493958947748616,0.5623413251903491
19,20260835,0,combined,9,2.9700397420553593,56.23413251903491
19,20260835,1,median,10,5.3,
19,20260835,1,covariates,10,4.545453951728916,17.78279410038923
19,20260835,1,panel,10,2.5080192693245693,17.78279410038923
19,20260835,1,combined,10,3.0338628326732766,31.622776601683793
19,20260835,2,median,9,3.1666666666666665,
19,20260835,2,covariates,9,4.009587879840789,100.0
19,20260835,2,panel,9,2.043488813713756,31.622776601683793
19,20260835,2,combined,9,2.886571346989256,17.78279410038923
19,20260835,3,median,10,5.7,
19,20260835,3,covariates,10,6.236836195248752,1000.0
19,20260835,3,panel,10,4.162348793862077,31.622776601683793
19,20260835,3,combined,10,4.418955394205333,56.23413251903491
19,20260835,4,median,11,3.272727272727273,
19,20260835,4,covariates,11,2.9722810278714644,100.0
19,20260835,4,panel,11,2.0956387113614423,56.23413251903491
19,20260835,4,combined,11,2.2397626571109197,56.23413251903491
